"","MEASID","Site","LonPoint","LatPoint","sm","ID","Zone","Notes","Veg_Orig","Trip","Veg","Year"
"20",20,"53",-118.692,36.722595,6.07,1329,"[No GPS Lock]","6.07","Conifer, Mixed","2016_Early","mixed conifer","2016"
"21",21,"53",-118.691,36.72264,8.72,1329,"[No GPS Lock]","WPT 53","Conifer, Mixed","2016_Early","mixed conifer","2016"
"22",22,"53",-118.69125,36.72265,6.41,1329,"[No GPS Lock]","6.41","Conifer, Mixed","2016_Early","mixed conifer","2016"
"23",23,"53",-118.6915,36.72266,10.86,1329,"[No GPS Lock]","10.86","Conifer, Mixed","2016_Early","mixed conifer","2016"
"24",24,"53",-118.69175,36.72267,10,1329,"[No GPS Lock]","10","Conifer, Mixed","2016_Early","mixed conifer","2016"
"25",25,"53",-118.692,36.72268,11.82,1329,"[No GPS Lock]","WPT 710","Conifer, Mixed","2016_Early","mixed conifer","2016"
"26",1200,"53",-118.691299,36.722338,0,1329,"[No GPS Lock]","WPT 963","Conifer, Mixed","2016_Late","mixed conifer","2016"
"27",1201,"53",-118.6912928,36.7224085,0.28,1329,"[No GPS Lock]","0.28000000000000003","Conifer, Mixed","2016_Late","mixed conifer","2016"
"28",1202,"53",-118.6912865,36.722479,0,1329,"[No GPS Lock]","0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"29",1203,"53",-118.6912803,36.7225495,0,1329,"[No GPS Lock]","0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"30",1204,"53",-118.691274,36.72262,1.96,1329,"[No GPS Lock]","WPT 962; root ball","Conifer, Mixed","2016_Late","mixed conifer","2016"
"31",1205,"53",-118.6913505,36.7223275,0,1329,"[No GPS Lock]","0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"32",1206,"53",-118.6913509,36.72239744,0.74,1329,"[No GPS Lock]","0.74","Conifer, Mixed","2016_Late","mixed conifer","2016"
"33",1207,"53",-118.6913513,36.72246738,0,1329,"[No GPS Lock]","0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"34",1208,"53",-118.6913516,36.72253731,1.43,1329,"[No GPS Lock]","1.43","Conifer, Mixed","2016_Late","mixed conifer","2016"
"35",1209,"53",-118.691352,36.72260725,0.69,1329,"[No GPS Lock]","0.69","Conifer, Mixed","2016_Late","mixed conifer","2016"
"36",1210,"53",-118.691402,36.722317,0.5,1783,NA,"0.5","Conifer, Mixed","2016_Late","mixed conifer","2016"
"37",1211,"53",-118.691409,36.72238638,0,1783,NA,"0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"38",1212,"53",-118.691416,36.72245575,0,1783,NA,"0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"39",1213,"53",-118.691423,36.72252513,0.1,1783,NA,"0.1","Conifer, Mixed","2016_Late","mixed conifer","2016"
"40",1214,"53",-118.69143,36.7225945,0.9,1783,NA,"0.9","Conifer, Mixed","2016_Late","mixed conifer","2016"
"41",1215,"53",-118.6914535,36.7223065,0.1,1783,NA,"0.1","Conifer, Mixed","2016_Late","mixed conifer","2016"
"42",1216,"53",-118.6914671,36.72237531,0.3,1783,NA,"0.3","Conifer, Mixed","2016_Late","mixed conifer","2016"
"43",1217,"53",-118.6914808,36.72244413,0.3,1783,NA,"0.3","Conifer, Mixed","2016_Late","mixed conifer","2016"
"44",1218,"53",-118.6914944,36.72251294,0.9,1783,NA,"0.9","Conifer, Mixed","2016_Late","mixed conifer","2016"
"45",1219,"53",-118.691508,36.72258175,1.7,1783,NA,"1.7","Conifer, Mixed","2016_Late","mixed conifer","2016"
"46",1220,"53",-118.691505,36.722296,0,1783,NA,"WPT 965","Conifer, Mixed","2016_Late","mixed conifer","2016"
"47",1221,"53",-118.6915253,36.72236425,0,1783,NA,"0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"48",1222,"53",-118.6915455,36.7224325,0,1783,NA,"0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"49",1223,"53",-118.6915658,36.72250075,0.6,1783,NA,"0.6","Conifer, Mixed","2016_Late","mixed conifer","2016"
"50",1224,"53",-118.691586,36.722569,1.9,1783,NA,"WPT 964","Conifer, Mixed","2016_Late","mixed conifer","2016"
"51",3000,"53",-118.691299,36.722338,3.47,1329,"[No GPS Lock]","WPT 963","Conifer, Mixed","2017_Early","mixed conifer","2017"
"52",3001,"53",-118.6913505,36.7223275,1.59,3255,"ZONE 00043","1.59","Conifer, Mixed","2017_Early","mixed conifer","2017"
"53",3002,"53",-118.691402,36.722317,0.84,1329,"[No GPS Lock]","0.84","Conifer, Mixed","2017_Early","mixed conifer","2017"
"54",3003,"53",-118.6914535,36.7223065,1.11,3255,"ZONE 00043","1.1100000000000001","Conifer, Mixed","2017_Early","mixed conifer","2017"
"55",3004,"53",-118.691505,36.722296,0.25,3255,"ZONE 00043","WPT 965","Conifer, Mixed","2017_Early","mixed conifer","2017"
"56",3005,"53",-118.6912928,36.7224085,2.2,1329,"[No GPS Lock]","2.2000000000000002","Conifer, Mixed","2017_Early","mixed conifer","2017"
"57",3006,"53",-118.6913509,36.72239744,1.95,3255,"ZONE 00043","CECO","Conifer, Mixed","2017_Early","mixed conifer","2017"
"58",3007,"53",-118.691409,36.72238638,3.75,1329,"[No GPS Lock]","duff","Conifer, Mixed","2017_Early","mixed conifer","2017"
"59",3008,"53",-118.6914671,36.72237531,1.69,3255,"ZONE 00043","1.69","Conifer, Mixed","2017_Early","mixed conifer","2017"
"60",3009,"53",-118.6915253,36.72236425,0.65,3255,"ZONE 00043","0.65","Conifer, Mixed","2017_Early","mixed conifer","2017"
"61",3010,"53",-118.6912865,36.722479,2.26,1329,"[No GPS Lock]","2.2599999999999998","Conifer, Mixed","2017_Early","mixed conifer","2017"
"62",3011,"53",-118.6913513,36.72246738,1.27,3255,"ZONE 00043","1.27","Conifer, Mixed","2017_Early","mixed conifer","2017"
"63",3012,"53",-118.691416,36.72245575,0,1329,"[No GPS Lock]","0","Conifer, Mixed","2017_Early","mixed conifer","2017"
"64",3013,"53",-118.6914808,36.72244413,2.36,3255,"ZONE 00043","under bush","Conifer, Mixed","2017_Early","mixed conifer","2017"
"65",3014,"53",-118.6915455,36.7224325,0.7,3255,NA,"0.7","Conifer, Mixed","2017_Early","mixed conifer","2017"
"66",3015,"53",-118.6912803,36.7225495,3.93,1329,"[No GPS Lock]","3.93","Conifer, Mixed","2017_Early","mixed conifer","2017"
"67",3016,"53",-118.6913516,36.72253731,2.46,3255,"ZONE 00043","2.46","Conifer, Mixed","2017_Early","mixed conifer","2017"
"68",3017,"53",-118.691423,36.72252513,2.76,1329,"[No GPS Lock]","litter","Conifer, Mixed","2017_Early","mixed conifer","2017"
"69",3018,"53",-118.6914944,36.72251294,0.95,3255,"ZONE 00043","0.95","Conifer, Mixed","2017_Early","mixed conifer","2017"
"70",3019,"53",-118.6915658,36.72250075,1.11,3255,"ZONE 00043","1.1100000000000001","Conifer, Mixed","2017_Early","mixed conifer","2017"
"71",3020,"53",-118.691274,36.72262,3.87,1329,"[No GPS Lock]","WPT 962","Conifer, Mixed","2017_Early","mixed conifer","2017"
"72",3021,"53",-118.691352,36.72260725,3.18,3255,"ZONE 00043","3.18","Conifer, Mixed","2017_Early","mixed conifer","2017"
"73",3022,"53",-118.69143,36.7225945,2.94,1329,"[No GPS Lock]","2.94","Conifer, Mixed","2017_Early","mixed conifer","2017"
"74",3023,"53",-118.691508,36.72258175,2.12,3255,"ZONE 00043","2.12","Conifer, Mixed","2017_Early","mixed conifer","2017"
"75",3024,"53",-118.691586,36.722569,0,NA,NA,"WPT 964, rock","Conifer, Mixed","2017_Early","mixed conifer","2017"
"76",13000,"53",-118.691242,36.72262796,1.48,3255,"ZONE 00052","Near trail; WPT 1258","Conifer, Mixed","2018_Early","mixed conifer","2018"
"77",13001,"53",-118.6913417,36.72262796,0.65,3255,"ZONE 00052","0.65","Conifer, Mixed","2018_Early","mixed conifer","2018"
"78",13002,"53",-118.6914415,36.72262796,1.12,3255,"ZONE 00052","1.1200000000000001","Conifer, Mixed","2018_Early","mixed conifer","2018"
"79",13003,"53",-118.6915412,36.72262796,1.06,3255,"ZONE 00052","L/D","Conifer, Mixed","2018_Early","mixed conifer","2018"
"80",13004,"53",-118.691641,36.72262796,6.13,3255,"ZONE 00052","L/D","Conifer, Mixed","2018_Early","mixed conifer","2018"
"81",13005,"53",-118.6912577,36.72255646,1.32,3255,"ZONE 00052","1.32","Conifer, Mixed","2018_Early","mixed conifer","2018"
"82",13006,"53",-118.6913575,36.72255646,1.91,3255,"ZONE 00052","1.91","Conifer, Mixed","2018_Early","mixed conifer","2018"
"83",13007,"53",-118.6914572,36.72255646,1.19,3255,"ZONE 00052","L/D","Conifer, Mixed","2018_Early","mixed conifer","2018"
"84",13008,"53",-118.691557,36.72255646,0,3255,"ZONE 00052","L/D","Conifer, Mixed","2018_Early","mixed conifer","2018"
"85",13009,"53",-118.6916567,36.72255646,2.05,3255,"ZONE 00052","L/D","Conifer, Mixed","2018_Early","mixed conifer","2018"
"86",13010,"53",-118.6912735,36.72248497,0.15,3255,"ZONE 00052","0.15","Conifer, Mixed","2018_Early","mixed conifer","2018"
"87",13011,"53",-118.6913732,36.72248497,0.66,3255,"ZONE 00052","0.66","Conifer, Mixed","2018_Early","mixed conifer","2018"
"88",13012,"53",-118.691473,36.72248497,1.26,3255,"ZONE 00052","1.26","Conifer, Mixed","2018_Early","mixed conifer","2018"
"89",13013,"53",-118.6915727,36.72248497,0,3255,"ZONE 00052","L/D","Conifer, Mixed","2018_Early","mixed conifer","2018"
"90",13014,"53",-118.6916725,36.72248497,0.5,3255,"ZONE 00052","L/D","Conifer, Mixed","2018_Early","mixed conifer","2018"
"91",13015,"53",-118.6912893,36.72241347,0.84,1329,"[Unspecified Zone]","0.84","Conifer, Mixed","2018_Early","mixed conifer","2018"
"92",13016,"53",-118.691389,36.72241347,0.03,1329,"[Unspecified Zone]","0.03","Conifer, Mixed","2018_Early","mixed conifer","2018"
"93",13017,"53",-118.6914887,36.72241347,0,1329,"[Unspecified Zone]","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"94",13018,"53",-118.6915885,36.72241347,0,1329,"[Unspecified Zone]","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"95",13019,"53",-118.6916882,36.72241347,0,1329,"[Unspecified Zone]","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"96",13020,"53",-118.691305,36.72234197,0,1329,"[Unspecified Zone]","WPT 1256","Conifer, Mixed","2018_Early","mixed conifer","2018"
"97",13021,"53",-118.6914048,36.72234197,0,1329,"[Unspecified Zone]","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"98",13022,"53",-118.6915045,36.72234197,0,1329,"[Unspecified Zone]","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"99",13023,"53",-118.6916042,36.72234197,0,1329,"[Unspecified Zone]","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"100",13024,"53",-118.691704,36.72234197,0.74,1329,"[Unspecified Zone]","WPT 1257","Conifer, Mixed","2018_Early","mixed conifer","2018"
"101",26,"68",-118.693101,36.720751,7.6,1329,NA,"WPT 718","Conifer, Mixed","2016_Early","mixed conifer","2016"
"102",27,"68",-118.6931858,36.72074775,4.54,1329,"[No GPS Lock]","4.54","Conifer, Mixed","2016_Early","mixed conifer","2016"
"103",28,"68",-118.6932705,36.7207445,8.69,1783,"[No GPS Lock]","8.69","Conifer, Mixed","2016_Early","mixed conifer","2016"
"104",29,"68",-118.6933553,36.72074125,8.629999,1783,"ZONE 00080","8.6299989999999998","Conifer, Mixed","2016_Early","mixed conifer","2016"
"105",30,"68",-118.69344,36.720738,10.36,1783,"ZONE 00080","WPT 717","Conifer, Mixed","2016_Early","mixed conifer","2016"
"106",31,"68",-118.6931373,36.720788,1.99,1329,"[No GPS Lock]","CECO","Conifer, Mixed","2016_Early","mixed conifer","2016"
"107",32,"68",-118.6932172,36.72079144,5.6,1329,"[No GPS Lock]","5.6","Conifer, Mixed","2016_Early","mixed conifer","2016"
"108",33,"68",-118.6932971,36.72079488,9.43,1783,"[No GPS Lock]","9.43","Conifer, Mixed","2016_Early","mixed conifer","2016"
"109",34,"68",-118.6933771,36.72079831,10.19,1783,"ZONE 00080","10.19","Conifer, Mixed","2016_Early","mixed conifer","2016"
"110",35,"68",-118.693457,36.72080175,9.820001,1783,"ZONE 00080","9.8200009999999995","Conifer, Mixed","2016_Early","mixed conifer","2016"
"111",36,"68",-118.6931735,36.720825,16.59,1329,"[No GPS Lock]","16.59","Conifer, Mixed","2016_Early","mixed conifer","2016"
"112",37,"68",-118.6932486,36.72083513,6.68,1329,"[No GPS Lock]","6.68","Conifer, Mixed","2016_Early","mixed conifer","2016"
"113",38,"68",-118.6933238,36.72084525,11.35,1783,"[No GPS Lock]","11.35","Conifer, Mixed","2016_Early","mixed conifer","2016"
"114",39,"68",-118.6933989,36.72085538,10.08,1783,"ZONE 00080","10.08","Conifer, Mixed","2016_Early","mixed conifer","2016"
"115",40,"68",-118.693474,36.7208655,11.44,1783,"ZONE 00080","11.44","Conifer, Mixed","2016_Early","mixed conifer","2016"
"116",41,"68",-118.6932098,36.720862,7.06,1329,"[No GPS Lock]","7.06","Conifer, Mixed","2016_Early","mixed conifer","2016"
"117",42,"68",-118.6932801,36.72087881,2.58,1329,"[No GPS Lock]","2.58","Conifer, Mixed","2016_Early","mixed conifer","2016"
"118",43,"68",-118.6933504,36.72089563,2.64,1783,"ZONE 00080","2.64","Conifer, Mixed","2016_Early","mixed conifer","2016"
"119",44,"68",-118.6934207,36.72091244,8.45,1783,"ZONE 00080","8.4499999999999993","Conifer, Mixed","2016_Early","mixed conifer","2016"
"120",45,"68",-118.693491,36.72092925,11.84,1783,"ZONE 00080","11.84","Conifer, Mixed","2016_Early","mixed conifer","2016"
"121",46,"68",-118.693246,36.720899,8.3,1329,NA,"WPT 716","Conifer, Mixed","2016_Early","mixed conifer","2016"
"122",47,"68",-118.6933115,36.7209225,6.08,1329,"[No GPS Lock]","6.08","Conifer, Mixed","2016_Early","mixed conifer","2016"
"123",48,"68",-118.693377,36.720946,12.06,1329,"[No GPS Lock]","12.06","Conifer, Mixed","2016_Early","mixed conifer","2016"
"124",49,"68",-118.6934425,36.7209695,9.14,1783,"[No GPS Lock]","9.14","Conifer, Mixed","2016_Early","mixed conifer","2016"
"125",50,"68",-118.693508,36.720993,8.639999,1783,"ZONE 00080","WPT 715","Conifer, Mixed","2016_Early","mixed conifer","2016"
"126",1225,"68",-118.693635,36.720665,1,1329,"[No GPS Lock]","WPT 961","Conifer, Mixed","2016_Late","mixed conifer","2016"
"127",1226,"68",-118.6935388,36.7206685,1,1329,"[No GPS Lock]","1","Conifer, Mixed","2016_Late","mixed conifer","2016"
"128",1227,"68",-118.6934425,36.720672,1.9,1329,"[No GPS Lock]","1.9","Conifer, Mixed","2016_Late","mixed conifer","2016"
"129",1228,"68",-118.6933463,36.7206755,1,1783,NA,"1","Conifer, Mixed","2016_Late","mixed conifer","2016"
"130",1229,"68",-118.69325,36.720679,0.5,1783,NA,"WPT 959","Conifer, Mixed","2016_Late","mixed conifer","2016"
"131",1230,"68",-118.6936,36.7207455,1,1329,"[No GPS Lock]","1","Conifer, Mixed","2016_Late","mixed conifer","2016"
"132",1231,"68",-118.6935073,36.72074731,2.73,1329,"[No GPS Lock]","2.73","Conifer, Mixed","2016_Late","mixed conifer","2016"
"133",1232,"68",-118.6934146,36.72074913,2.52,1329,"[No GPS Lock]","2.52","Conifer, Mixed","2016_Late","mixed conifer","2016"
"134",1233,"68",-118.6933219,36.72075094,0.8,1783,NA,"0.8","Conifer, Mixed","2016_Late","mixed conifer","2016"
"135",1234,"68",-118.6932293,36.72075275,0.5,1783,NA,"CECO","Conifer, Mixed","2016_Late","mixed conifer","2016"
"136",1235,"68",-118.693565,36.720826,1.68,1329,"[No GPS Lock]","1.68","Conifer, Mixed","2016_Late","mixed conifer","2016"
"137",1236,"68",-118.6934759,36.72082613,0.95,1329,"[No GPS Lock]","0.95","Conifer, Mixed","2016_Late","mixed conifer","2016"
"138",1237,"68",-118.6933868,36.72082625,2.08,1329,"[No GPS Lock]","2.08","Conifer, Mixed","2016_Late","mixed conifer","2016"
"139",1238,"68",-118.6932976,36.72082638,2.2,1783,NA,"2.2000000000000002","Conifer, Mixed","2016_Late","mixed conifer","2016"
"140",1239,"68",-118.6932085,36.7208265,0.5,1783,NA,"0.5","Conifer, Mixed","2016_Late","mixed conifer","2016"
"141",1240,"68",-118.69353,36.7209065,1.31,1329,"[No GPS Lock]","1.31","Conifer, Mixed","2016_Late","mixed conifer","2016"
"142",1241,"68",-118.6934444,36.72090494,0,1329,"[No GPS Lock]","0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"143",1242,"68",-118.6933589,36.72090338,1.53,1329,"[No GPS Lock]","1.53","Conifer, Mixed","2016_Late","mixed conifer","2016"
"144",1243,"68",-118.6932733,36.72090181,4.3,1783,NA,"4.3","Conifer, Mixed","2016_Late","mixed conifer","2016"
"145",1244,"68",-118.6931878,36.72090025,1.6,1783,NA,"hole","Conifer, Mixed","2016_Late","mixed conifer","2016"
"146",1245,"68",-118.693495,36.720987,1.3,1329,"[No GPS Lock]","WPT 960","Conifer, Mixed","2016_Late","mixed conifer","2016"
"147",1246,"68",-118.693413,36.72098375,0.9,1329,"[No GPS Lock]","0.9","Conifer, Mixed","2016_Late","mixed conifer","2016"
"148",1247,"68",-118.693331,36.7209805,0,1329,"[No GPS Lock]","0","Conifer, Mixed","2016_Late","mixed conifer","2016"
"149",1248,"68",-118.693249,36.72097725,0.4,1783,NA,"0.4","Conifer, Mixed","2016_Late","mixed conifer","2016"
"150",1249,"68",-118.693167,36.720974,1.4,1783,NA,"WPT 958","Conifer, Mixed","2016_Late","mixed conifer","2016"
"151",3025,"68",-118.69325,36.720679,0.84,1329,"[No GPS Lock]","WPT 959","Conifer, mixed con","2017_Early","mixed conifer","2017"
"152",3026,"68",-118.6933463,36.7206755,3.13,3255,"ZONE 00042","under 4"" duff and litter","Conifer, mixed con","2017_Early","mixed conifer","2017"
"153",3027,"68",-118.6934425,36.720672,3.56,1329,"[No GPS Lock]","under 1"" duff","Conifer, mixed con","2017_Early","mixed conifer","2017"
"154",3028,"68",-118.6935388,36.7206685,2.14,1329,"[No GPS Lock]","2.14","Conifer, mixed con","2017_Early","mixed conifer","2017"
"155",3029,"68",-118.693635,36.720665,4.69,3255,"ZONE 00042","under litter and duff","Conifer, mixed con","2017_Early","mixed conifer","2017"
"156",3030,"68",-118.6932293,36.72075275,2.69,1329,"[No GPS Lock]","2.69","Conifer, mixed con","2017_Early","mixed conifer","2017"
"157",3031,"68",-118.6933219,36.72075094,2.35,3255,"ZONE 00042","2.35","Conifer, mixed con","2017_Early","mixed conifer","2017"
"158",3032,"68",-118.6934146,36.72074913,2.71,1329,"[No GPS Lock]","2.71","Conifer, mixed con","2017_Early","mixed conifer","2017"
"159",3033,"68",-118.6935073,36.72074731,0,NA,NA,"rock","Conifer, mixed con","2017_Early","mixed conifer","2017"
"160",3034,"68",-118.6936,36.7207455,2.39,3255,"ZONE 00042","under litter and duff","Conifer, mixed con","2017_Early","mixed conifer","2017"
"161",3035,"68",-118.6932085,36.7208265,1.6,1329,"[No GPS Lock]","all duff and organic matter, under CHIN and on top of rocks","Conifer, mixed con","2017_Early","mixed conifer","2017"
"162",3036,"68",-118.6932976,36.72082638,1.16,3255,"ZONE 00042","1.1599999999999999","Conifer, mixed con","2017_Early","mixed conifer","2017"
"163",3037,"68",-118.6933868,36.72082625,3.26,1329,"[No GPS Lock]","3.26","Conifer, mixed con","2017_Early","mixed conifer","2017"
"164",3038,"68",-118.6934759,36.72082613,4.35,1329,"[No GPS Lock]","4.3499999999999996","Conifer, mixed con","2017_Early","mixed conifer","2017"
"165",3039,"68",-118.693565,36.720826,0.8,3255,"ZONE 00042","0.8","Conifer, mixed con","2017_Early","mixed conifer","2017"
"166",3040,"68",-118.6931878,36.72090025,3.82,1329,"[No GPS Lock]","3.82","Conifer, mixed con","2017_Early","mixed conifer","2017"
"167",3041,"68",-118.6932733,36.72090181,2.63,3255,"ZONE 00042","2.63","Conifer, mixed con","2017_Early","mixed conifer","2017"
"168",3042,"68",-118.6933589,36.72090338,3.45,1329,"[No GPS Lock]","3.45","Conifer, mixed con","2017_Early","mixed conifer","2017"
"169",3043,"68",-118.6934444,36.72090494,2.47,1329,"[No GPS Lock]","2.4700000000000002","Conifer, mixed con","2017_Early","mixed conifer","2017"
"170",3044,"68",-118.69353,36.7209065,3.54,3255,"ZONE 00042","3.54","Conifer, mixed con","2017_Early","mixed conifer","2017"
"171",3045,"68",-118.693167,36.720974,3.46,1329,"[No GPS Lock]","WPT 958","Conifer, mixed con","2017_Early","mixed conifer","2017"
"172",3046,"68",-118.693249,36.72097725,1.16,3255,"ZONE 00042","1.1599999999999999","Conifer, mixed con","2017_Early","mixed conifer","2017"
"173",3047,"68",-118.693331,36.7209805,1.48,1329,"[No GPS Lock]","1.48","Conifer, mixed con","2017_Early","mixed conifer","2017"
"174",3048,"68",-118.693413,36.72098375,3.23,1329,"[No GPS Lock]","3.23","Conifer, mixed con","2017_Early","mixed conifer","2017"
"175",3049,"68",-118.693495,36.720987,3.55,3255,"ZONE 00042","WPT 960","Conifer, mixed con","2017_Early","mixed conifer","2017"
"176",13025,"68",-118.693489,36.72072502,1.99,3255,"ZONE 00053","WPT 1259","Conifer, Mixed","2018_Early","mixed conifer","2018"
"177",13026,"68",-118.6934162,36.720719,13.81,3255,"ZONE 00053","13.81","Conifer, Mixed","2018_Early","mixed conifer","2018"
"178",13027,"68",-118.6933435,36.72071299,0,1329,"ZONE 00083","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"179",13028,"68",-118.6932707,36.72070698,0,1329,"ZONE 00083","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"180",13029,"68",-118.693198,36.72070096,0,1329,"ZONE 00083","WPT 1261","Conifer, Mixed","2018_Early","mixed conifer","2018"
"181",13030,"68",-118.693465,36.72081577,2.32,3255,"ZONE 00053","2.3199999999999998","Conifer, Mixed","2018_Early","mixed conifer","2018"
"182",13031,"68",-118.6933923,36.72080976,2.99,3255,"ZONE 00053","2.99","Conifer, Mixed","2018_Early","mixed conifer","2018"
"183",13032,"68",-118.6933195,36.72080375,1.1,1329,"ZONE 00083","1.1000000000000001","Conifer, Mixed","2018_Early","mixed conifer","2018"
"184",13033,"68",-118.6932467,36.72079773,0.02,1329,"ZONE 00083","0.02","Conifer, Mixed","2018_Early","mixed conifer","2018"
"185",13034,"68",-118.693174,36.72079172,0,1329,"ZONE 00083","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"186",13035,"68",-118.693441,36.72090653,2.9,3255,"ZONE 00053","2.9","Conifer, Mixed","2018_Early","mixed conifer","2018"
"187",13036,"68",-118.6933683,36.72090051,1.16,3255,"ZONE 00053","1.1599999999999999","Conifer, Mixed","2018_Early","mixed conifer","2018"
"188",13037,"68",-118.6932955,36.7208945,0.9,1329,"ZONE 00083","0.9","Conifer, Mixed","2018_Early","mixed conifer","2018"
"189",13038,"68",-118.6932228,36.72088849,0,NA,NA,"rock","Conifer, Mixed","2018_Early","mixed conifer","2018"
"190",13039,"68",-118.69315,36.72088247,0.47,1329,"ZONE 00083","0.47","Conifer, Mixed","2018_Early","mixed conifer","2018"
"191",13040,"68",-118.693417,36.72099728,1.59,3255,"ZONE 00053","1.59","Conifer, Mixed","2018_Early","mixed conifer","2018"
"192",13041,"68",-118.6933443,36.72099127,1.64,3255,"ZONE 00053","1.64","Conifer, Mixed","2018_Early","mixed conifer","2018"
"193",13042,"68",-118.6932715,36.72098526,0,1329,"ZONE 00083","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"194",13043,"68",-118.6931988,36.72097924,0.28,1329,"ZONE 00083","0.28000000000000003","Conifer, Mixed","2018_Early","mixed conifer","2018"
"195",13044,"68",-118.693126,36.72097323,0.78,1329,"ZONE 00083","0.78","Conifer, Mixed","2018_Early","mixed conifer","2018"
"196",13045,"68",-118.693393,36.72108804,1.3,NA,NA,"WPT 1260","Conifer, Mixed","2018_Early","mixed conifer","2018"
"197",13046,"68",-118.6933203,36.72108202,1.17,3255,"ZONE 00053","1.17","Conifer, Mixed","2018_Early","mixed conifer","2018"
"198",13047,"68",-118.6932475,36.72107601,0,1329,"ZONE 00083","0","Conifer, Mixed","2018_Early","mixed conifer","2018"
"199",13048,"68",-118.6931748,36.72107,0.95,1329,"ZONE 00083","0.95","Conifer, Mixed","2018_Early","mixed conifer","2018"
"200",13049,"68",-118.693102,36.72106398,1,1329,"ZONE 00083","1","Conifer, Mixed","2018_Early","mixed conifer","2018"
"201",51,"69",-118.690952,36.720632,8.48,1783,"ZONE 00079","WPT 712","Conifer, Mixed","2016_Early","mixed conifer","2016"
"202",52,"69",-118.6909797,36.7206163,7.09,1783,"ZONE 00079","7.09","Conifer, Mixed","2016_Early","mixed conifer","2016"
